Iteration	Posterior	Likelihood	Prior	clado_fission_pr	clado_fusion_pr	clado_no_change_pr	clado_polyploid_pr	clado_type[1]	clado_type[2]	clado_type[3]	clado_type[4]	clado_type[5]	delta	gamma	rho
1340	-60.86368	-69.55546	8.691781	0.008646883	0.005862447	0.30867	0.07802786	0.769353	0.0215522	0.014612	0.194483	0	0.07790294	0.1937066	0.06981482
1350	-59.2416	-68.03049	8.788899	0.01011527	0.01350236	0.1895904	0.05468028	0.707722	0.0377593	0.050403	0.204116	0	0.07826981	0.1571959	0.2295657
1360	-61.80938	-69.24055	7.431169	0.02040722	0.0215634	0.2681937	0.08321324	0.681772	0.0518769	0.054816	0.211535	0	0.1254825	0.06719797	0.2826346
1370	-60.71241	-69.44115	8.72874	0.03667235	0.003584626	0.1535602	0.0340373	0.67394	0.160946	0.0157321	0.149382	0	0.1276333	0.1021716	0.2812762
1380	-59.43804	-68.10641	8.668367	0.01153301	0.00862131	0.1567918	0.07836103	0.61413	0.0451731	0.0337684	0.306928	0	0.1207983	0.1387174	0.23015
1390	-61.07643	-71.50557	10.42914	0.02382616	0.02025498	0.08833269	0.01575036	0.596181	0.160809	0.136706	0.106303	0	0.03933457	0.07809359	0.3033033
1400	-61.4191	-71.4142	9.995101	0.04185534	0.002354502	0.07225593	0.09780334	0.33722	0.19534	0.0109885	0.456451	0	0.1187649	0.05065674	0.2286087
1410	-59.20907	-68.74086	9.531793	0.03290159	0.005335266	0.1154178	0.09185151	0.470122	0.134015	0.0217317	0.374131	0	0.1009415	0.1681305	0.1440521
1420	-63.45096	-73.96255	10.51159	0.05386766	0.01968659	0.0327762	0.1848305	0.112571	0.18501	0.0676141	0.634805	0	0.0559972	0.08156624	0.1319265
1430	-58.61453	-68.72388	10.10935	0.02366402	0.003554843	0.1261166	0.1647303	0.396511	0.0743998	0.0111764	0.517913	0	0.03768831	0.1251339	0.1199864
1440	-65.26073	-68.4734	3.212678	0.01574237	0.0123491	0.3759913	0.3160202	0.522135	0.0218613	0.0171491	0.438854	0	0.2198085	0.2331742	0.1174561
1450	-60.78978	-69.68203	8.892248	0.05091766	0.01637086	0.1369621	0.09487645	0.457873	0.170221	0.0547288	0.317178	0	0.08891443	0.1607776	0.1737657
1460	-60.29003	-68.46051	8.170481	0.02130646	0.006612798	0.1812412	0.07808108	0.630971	0.0741761	0.0230217	0.271831	0	0.101217	0.09883343	0.3074696
1470	-58.3241	-70.217	11.89289	0.003333919	0.003445261	0.05561425	0.02919702	0.607206	0.0364003	0.0376159	0.318778	0	0.02899964	0.0504539	0.2514764
1480	-63.39621	-73.64523	10.24903	0.01355524	0.03120975	0.02997039	0.2279303	0.0990214	0.0447862	0.103116	0.753076	0	0.04849515	0.05476601	0.1809798
1490	-64.5436	-72.73566	8.192069	0.05328943	0.03128608	0.08713574	0.0444937	0.403024	0.246476	0.144706	0.205794	0	0.06593881	0.2074843	0.3029747
1500	-61.96386	-68.33518	6.371318	0.02619711	0.01475276	0.09902715	0.406125	0.181335	0.0479711	0.0270147	0.74368	0	0.07962926	0.2943275	0.05461908
1510	-60.54163	-67.5002	6.958567	0.03545391	0.009763129	0.2806474	0.1678535	0.568437	0.0718101	0.0197747	0.339978	0	0.06069847	0.3217641	0.03977239
1520	-59.15064	-67.60226	8.451623	0.02594869	0.01361011	0.1476125	0.1906964	0.390646	0.0686714	0.0360182	0.504664	0	0.0745903	0.2910273	0.02316201
1530	-60.25067	-70.8358	10.58512	0.045775	0.008664961	0.06792399	0.1309469	0.268145	0.180707	0.0342068	0.516942	0	0.05832996	0.2267315	0.01492485
1540	-58.72341	-67.39864	8.675227	0.01481673	0.003635511	0.1441884	0.1957134	0.402363	0.0413466	0.010145	0.546145	0	0.1170073	0.225223	0.04370243
1550	-58.11215	-69.45911	11.34696	0.003598262	0.003445858	0.1295723	0.09607363	0.556845	0.0154638	0.0148088	0.412882	0	0.07784351	0.09254116	0.07403921
1560	-57.13543	-70.55656	13.42113	0.008814883	0.001230267	0.02509424	0.03736534	0.346105	0.121577	0.0169681	0.51535	0	0.02623345	0.1087819	0.06217669
